pays,id,2006,2007,2008,2009,2010,2011,2012,total
ALGERIE,12,,,,,,,1,1
ANGOLA,24,1,,,,,,,1
BENIN,204,,,1,,2,,1,4
BURKINA FASO,854,1,,,1,1,,1,4
BURUNDI,108,1,,,,1,,,2
CAMBODGE,116,,,1,,,,,1
CAMEROUN,120,2,,,1,2,1,,6
CAP VERT,132,,1,,,,,,1
COMORES,174,,,1,,,1,,2
CONGO BRAZZAVILLE,178,1,,,,1,,,2
COTE D'IVOIRE,384,,,,1,,,,1
DJIBOUTI,262,,,,,1,,,1
GABON,266,,1,,1,1,1,1,5
GUINEE,324,,1,1,,,,,2
HAITI,332,,1,,,,1,,2
LAOS,418,1,1,,,,,,2
MADAGASCAR,450,1,2,,2,,,1,6
MALI,466,,1,,1,1,,,3
MAROC,504,,,2,,,2,1,5
MAURITANIE,478,1,,,1,,,,2
NIGER,562,1,,1,1,,,2,5
REP CENTRAFRICAINE,140,,1,,,,1,1,3
REP DEMOCRATIQUE CONGO,180,1,,,1,1,1,1,5
REP DOMINICAINE,214,,1,,,,,,1
SENEGAL,686,,1,1,2,,1,1,6
TCHAD,148,,,,,,1,,1
TOGO,768,,,1,,1,1,1,4
VIETNAM,704,,,2,,,,,2